request_id,request_dt,service_type,priority,expected_minutes,due_dt,status,completed_dt
R0000030,2025-11-15 13:29:28,Housekeeping,Urgent,18,2025-11-15 14:16:28,Completed,2025-11-15 13:53:28
R0000031,2025-11-15 18:36:41,FrontDesk,Standard,12,2025-11-15 20:05:41,Completed,2025-11-15 19:03:41
R0000032,2025-11-15 07:24:18,FrontDesk,Standard,12,2025-11-15 10:15:18,Open,
R0000033,2025-11-15 17:47:04,F&B,Standard,25,2025-11-15 18:55:04,Completed,2025-11-15 18:17:04
R0000034,2025-11-15 20:31:28,FrontDesk,Standard,12,2025-11-15 22:58:28,Completed,2025-11-15 20:56:28
R0000035,2025-11-15 19:05:12,Housekeeping,Standard,35,2025-11-15 21:59:12,Completed,2025-11-15 19:54:12
R0000036,2025-11-15 10:27:05,F&B,Standard,25,2025-11-15 12:48:05,Completed,2025-11-15 11:06:05
R0000037,2025-11-15 20:02:26,F&B,Standard,25,2025-11-15 22:38:26,Completed,2025-11-15 20:51:26
R0000038,2025-11-15 14:32:31,FrontDesk,Standard,12,2025-11-15 16:04:31,Completed,2025-11-15 14:57:31
R0000039,2025-11-15 16:12:35,F&B,Standard,25,2025-11-15 17:29:35,Completed,2025-11-15 16:32:35
R0000040,2025-11-15 19:54:17,FrontDesk,Standard,12,2025-11-15 22:27:17,Completed,2025-11-15 20:27:17
R0000041,2025-11-15 22:11:00,FrontDesk,Standard,12,2025-11-15 23:20:00,Completed,2025-11-15 22:37:00
R0000042,2025-11-15 14:00:55,Housekeeping,Urgent,18,2025-11-15 14:48:55,Open,
R0000043,2025-11-15 20:30:51,Housekeeping,Standard,35,2025-11-15 22:17:51,Completed,2025-11-15 21:22:51
R0000044,2025-11-15 18:18:22,F&B,Standard,25,2025-11-15 19:49:22,Completed,2025-11-15 18:56:22
R0000045,2025-11-15 13:27:44,FrontDesk,Standard,12,2025-11-15 14:31:44,Completed,2025-11-15 14:10:44
R0000046,2025-11-15 19:44:41,F&B,Standard,25,2025-11-15 22:44:41,Completed,2025-11-15 20:13:41
R0000047,2025-11-15 12:02:49,FrontDesk,Standard,12,2025-11-15 13:05:49,Completed,2025-11-15 12:37:49
R0000048,2025-11-15 15:45:47,Maintenance,Standard,55,2025-11-15 17:49:47,Completed,2025-11-15 16:48:47
R0000049,2025-11-15 21:50:29,F&B,Standard,25,2025-11-15 23:01:29,In_Progress,
R0000050,2025-11-15 20:48:36,FrontDesk,Standard,12,2025-11-15 22:50:36,Completed,2025-11-15 21:25:36
R0000051,2025-11-15 21:11:16,Housekeeping,Standard,35,2025-11-15 23:55:16,Completed,2025-11-15 22:16:16
R0000052,2025-11-15 17:33:24,FrontDesk,Standard,12,2025-11-15 19:31:24,Completed,2025-11-15 18:16:24
R0000053,2025-11-15 21:56:06,F&B,Standard,25,2025-11-15 23:38:06,Completed,2025-11-15 22:32:06
R0000054,2025-11-15 09:23:56,Housekeeping,Standard,35,2025-11-15 10:54:56,Completed,2025-11-15 10:26:56
R0000055,2025-11-15 21:55:05,F&B,Standard,25,2025-11-16 00:43:05,In_Progress,
R0000056,2025-11-15 11:18:33,Housekeeping,Standard,35,2025-11-15 14:06:33,Completed,2025-11-15 12:15:33
R0000057,2025-11-15 19:02:24,FrontDesk,Standard,12,2025-11-15 21:48:24,Completed,2025-11-15 19:40:24
R0000058,2025-11-15 11:32:41,Housekeeping,Standard,35,2025-11-15 13:03:41,Completed,2025-11-15 12:12:41
R0000059,2025-11-15 21:32:54,Maintenance,Standard,55,2025-11-16 00:08:54,Completed,2025-11-15 22:50:54
R0000060,2025-11-15 15:59:04,FrontDesk,Standard,12,2025-11-15 18:26:04,Completed,2025-11-15 16:38:04
R0000061,2025-11-15 18:50:29,FrontDesk,Standard,12,2025-11-15 20:40:29,Completed,2025-11-15 19:19:29
R0000062,2025-11-15 22:12:09,FrontDesk,Standard,12,2025-11-16 00:37:09,Completed,2025-11-15 22:44:09
R0000063,2025-11-15 14:05:19,Housekeeping,Standard,35,2025-11-15 16:40:19,Completed,2025-11-15 15:04:19
R0000064,2025-11-15 12:16:10,FrontDesk,Standard,12,2025-11-15 13:28:10,Completed,2025-11-15 12:48:10
R0000065,2025-11-15 11:07:34,Maintenance,Standard,55,2025-11-15 12:57:34,Completed,2025-11-15 12:16:34
R0000066,2025-11-15 17:39:04,F&B,Standard,25,2025-11-15 19:18:04,Completed,2025-11-15 18:16:04
R0000067,2025-11-15 07:53:03,F&B,Urgent,12,2025-11-15 08:33:03,Completed,2025-11-15 08:28:03
R0000068,2025-11-15 20:56:03,Maintenance,Standard,55,2025-11-15 22:31:03,Completed,2025-11-15 22:11:03
R0000069,2025-11-15 13:41:18,Housekeeping,Standard,35,2025-11-15 16:13:18,Completed,2025-11-15 14:27:18
R0000070,2025-11-15 10:34:00,F&B,Standard,25,2025-11-15 11:47:00,Completed,2025-11-15 11:17:00
R0000071,2025-11-15 18:44:11,Housekeeping,Urgent,18,2025-11-15 19:44:11,Completed,2025-11-15 19:13:11
R0000072,2025-11-15 11:33:31,F&B,Standard,25,2025-11-15 13:40:31,Completed,2025-11-15 12:21:31
R0000073,2025-11-15 11:40:58,Housekeeping,Urgent,18,2025-11-15 12:19:58,Completed,2025-11-15 12:23:58
R0000074,2025-11-15 19:11:50,F&B,Urgent,12,2025-11-15 19:55:50,Completed,2025-11-15 19:48:50
R0000075,2025-11-15 14:35:40,F&B,Standard,25,2025-11-15 17:06:40,Open,
R0000076,2025-11-15 08:28:24,Housekeeping,Standard,35,2025-11-15 11:10:24,Completed,2025-11-15 09:16:24
R0000077,2025-11-15 09:06:16,Housekeeping,Standard,35,2025-11-15 11:48:16,Completed,2025-11-15 09:51:16
R0000078,2025-11-15 18:17:20,F&B,Standard,25,2025-11-15 20:44:20,Completed,2025-11-15 18:43:20
R0000079,2025-11-15 09:13:20,Housekeeping,Standard,35,2025-11-15 10:17:20,Completed,2025-11-15 10:09:20
R0000080,2025-11-15 21:55:53,Housekeeping,Urgent,18,2025-11-15 22:39:53,Completed,2025-11-15 22:31:53
R0000081,2025-11-15 12:50:03,Maintenance,Standard,55,2025-11-15 15:02:03,Open,
R0000082,2025-11-15 09:38:42,Housekeeping,Urgent,18,2025-11-15 10:03:42,Completed,2025-11-15 09:55:42
R0000083,2025-11-15 21:32:26,Housekeeping,Standard,35,2025-11-15 22:50:26,In_Progress,
R0000084,2025-11-15 19:31:00,F&B,Standard,25,2025-11-15 20:35:00,Completed,2025-11-15 20:25:00
R0000085,2025-11-15 12:08:31,Housekeeping,Standard,35,2025-11-15 14:55:31,Open,
R0000086,2025-11-15 18:19:45,Housekeeping,Standard,35,2025-11-15 21:13:45,Completed,2025-11-15 19:33:45
R0000087,2025-11-15 16:15:40,F&B,Standard,25,2025-11-15 18:28:40,Completed,2025-11-15 16:57:40
R0000088,2025-11-15 16:39:09,F&B,Standard,25,2025-11-15 18:54:09,Completed,2025-11-15 17:42:09
R0000089,2025-11-15 14:26:05,Housekeeping,Standard,35,2025-11-15 16:14:05,Completed,2025-11-15 15:25:05
R0000090,2025-11-15 14:57:42,Housekeeping,Standard,35,2025-11-15 17:28:42,Completed,2025-11-15 15:42:42
R0000091,2025-11-15 19:13:05,F&B,Standard,25,2025-11-15 20:45:05,Completed,2025-11-15 19:54:05
R0000092,2025-11-15 17:49:08,Housekeeping,Standard,35,2025-11-15 19:40:08,Completed,2025-11-15 18:09:08
R0000093,2025-11-15 14:14:14,F&B,Standard,25,2025-11-15 16:10:14,Completed,2025-11-15 14:58:14
R0000094,2025-11-15 19:42:55,Housekeeping,Standard,35,2025-11-15 22:18:55,Completed,2025-11-15 20:11:55
R0000095,2025-11-15 17:25:32,Maintenance,Standard,55,2025-11-15 18:37:32,Completed,2025-11-15 18:59:32
R0000096,2025-11-15 17:23:23,F&B,Urgent,12,2025-11-15 17:59:23,Completed,2025-11-15 17:41:23
R0000097,2025-11-15 13:28:39,F&B,Standard,25,2025-11-15 16:04:39,Completed,2025-11-15 13:56:39
R0000098,2025-11-15 21:17:23,Housekeeping,Standard,35,2025-11-15 23:03:23,Completed,2025-11-15 22:15:23
R0000099,2025-11-15 16:09:01,F&B,Standard,25,2025-11-15 17:55:01,Completed,2025-11-15 16:28:01
R0000100,2025-11-15 12:53:49,Maintenance,Standard,55,2025-11-15 14:09:49,Completed,2025-11-15 13:45:49
R0000101,2025-11-15 14:59:25,F&B,Standard,25,2025-11-15 16:19:25,Completed,2025-11-15 15:30:25
R0000102,2025-11-15 12:23:35,Housekeeping,Standard,35,2025-11-15 14:18:35,Completed,2025-11-15 13:08:35
R0000103,2025-11-15 20:34:10,F&B,Standard,25,2025-11-15 21:58:10,Completed,2025-11-15 21:17:10
R0000104,2025-11-15 16:52:26,F&B,Standard,25,2025-11-15 19:10:26,Open,
R0000105,2025-11-15 10:17:47,F&B,Standard,25,2025-11-15 11:43:47,Completed,2025-11-15 11:07:47
R0000106,2025-11-15 09:05:38,FrontDesk,Urgent,6,2025-11-15 09:30:38,Completed,2025-11-15 09:21:38
R0000107,2025-11-15 19:13:59,F&B,Urgent,12,2025-11-15 20:05:59,Completed,2025-11-15 19:49:59
R0000108,2025-11-15 18:36:07,Housekeeping,Urgent,18,2025-11-15 19:03:07,Completed,2025-11-15 19:06:07
R0000109,2025-11-15 07:28:33,F&B,Urgent,12,2025-11-15 08:06:33,Completed,2025-11-15 07:44:33
R0000110,2025-11-15 20:31:44,Housekeeping,Standard,35,2025-11-15 21:46:44,Completed,2025-11-15 21:18:44
R0000111,2025-11-15 08:11:47,Housekeeping,Standard,35,2025-11-15 09:57:47,Completed,2025-11-15 09:11:47
R0000112,2025-11-15 12:32:45,Housekeeping,Standard,35,2025-11-15 14:05:45,Completed,2025-11-15 13:44:45
R0000113,2025-11-15 14:50:07,Housekeeping,Urgent,18,2025-11-15 15:43:07,Completed,2025-11-15 15:16:07
R0000114,2025-11-15 16:32:00,Housekeeping,Standard,35,2025-11-15 17:47:00,Completed,2025-11-15 17:17:00
R0000115,2025-11-15 18:38:36,FrontDesk,Standard,12,2025-11-15 20:43:36,Completed,2025-11-15 19:21:36
R0000116,2025-11-15 13:37:40,FrontDesk,Standard,12,2025-11-15 15:55:40,Open,
R0000117,2025-11-15 18:34:07,FrontDesk,Standard,12,2025-11-15 20:29:07,Completed,2025-11-15 18:57:07
R0000118,2025-11-15 18:03:28,F&B,Standard,25,2025-11-15 19:47:28,Completed,2025-11-15 18:37:28
R0000119,2025-11-15 11:33:39,Housekeeping,Urgent,18,2025-11-15 11:48:39,Open,
R0000120,2025-11-15 21:55:09,F&B,Standard,25,2025-11-15 23:06:09,Completed,2025-11-15 22:40:09
R0000121,2025-11-15 18:06:15,Maintenance,Urgent,30,2025-11-15 19:03:15,Completed,2025-11-15 18:47:15
R0000122,2025-11-15 15:24:49,FrontDesk,Standard,12,2025-11-15 16:47:49,Completed,2025-11-15 16:00:49
R0000123,2025-11-15 10:12:36,FrontDesk,Standard,12,2025-11-15 12:25:36,Completed,2025-11-15 10:49:36
R0000124,2025-11-15 09:37:49,FrontDesk,Standard,12,2025-11-15 11:54:49,Completed,2025-11-15 10:00:49
R0000125,2025-11-15 19:31:16,F&B,Standard,25,2025-11-15 22:17:16,Open,
R0000126,2025-11-15 15:19:06,Housekeeping,Standard,35,2025-11-15 17:28:06,Completed,2025-11-15 16:05:06
R0000127,2025-11-15 11:51:08,FrontDesk,Standard,12,2025-11-15 14:50:08,Completed,2025-11-15 12:36:08
R0000128,2025-11-15 19:11:12,F&B,Standard,25,2025-11-15 22:09:12,Completed,2025-11-15 19:55:12
R0000129,2025-11-15 15:14:27,F&B,Standard,25,2025-11-15 17:28:27,Completed,2025-11-15 16:03:27
R0000130,2025-11-15 14:35:39,Housekeeping,Standard,35,2025-11-15 15:57:39,Completed,2025-11-15 15:26:39
R0000131,2025-11-15 18:57:05,F&B,Standard,25,2025-11-15 21:10:05,Completed,2025-11-15 19:32:05
R0000132,2025-11-15 16:39:47,FrontDesk,Standard,12,2025-11-15 19:30:47,Completed,2025-11-15 16:54:47
R0000133,2025-11-15 21:10:42,Maintenance,Standard,55,2025-11-15 23:42:42,Completed,2025-11-15 22:29:42
R0000134,2025-11-15 18:38:00,Housekeeping,Standard,35,2025-11-15 20:32:00,Completed,2025-11-15 19:27:00
R0000135,2025-11-15 11:16:41,Housekeeping,Standard,35,2025-11-15 12:39:41,Completed,2025-11-15 12:08:41
R0000136,2025-11-15 20:45:02,F&B,Urgent,12,2025-11-15 21:17:02,Completed,2025-11-15 21:11:02
R0000137,2025-11-15 11:03:20,F&B,Standard,25,2025-11-15 12:03:20,Completed,2025-11-15 11:44:20
R0000138,2025-11-15 19:58:04,Maintenance,Standard,55,2025-11-15 22:10:04,Completed,2025-11-15 21:06:04
R0000139,2025-11-15 18:04:20,F&B,Standard,25,2025-11-15 19:08:20,Completed,2025-11-15 18:55:20
R0000140,2025-11-15 08:30:56,FrontDesk,Urgent,6,2025-11-15 09:18:56,Completed,2025-11-15 08:53:56
R0000141,2025-11-15 17:11:34,F&B,Standard,25,2025-11-15 18:22:34,Completed,2025-11-15 17:55:34
R0000142,2025-11-15 08:55:12,Housekeeping,Urgent,18,2025-11-15 09:15:12,Completed,2025-11-15 09:23:12
R0000143,2025-11-15 12:47:04,Housekeeping,Urgent,18,2025-11-15 13:17:04,Completed,2025-11-15 13:09:04
R0000144,2025-11-15 15:41:10,FrontDesk,Standard,12,2025-11-15 17:34:10,Completed,2025-11-15 16:02:10
R0000145,2025-11-15 21:09:56,Housekeeping,Standard,35,2025-11-15 23:17:56,Open,
R0000146,2025-11-15 21:18:28,Housekeeping,Standard,35,2025-11-15 22:32:28,Completed,2025-11-15 22:23:28
R0000147,2025-11-15 08:00:28,FrontDesk,Standard,12,2025-11-15 10:41:28,Completed,2025-11-15 08:19:28
R0000148,2025-11-15 19:34:42,F&B,Standard,25,2025-11-15 21:41:42,Completed,2025-11-15 20:21:42
R0000149,2025-11-15 14:02:05,F&B,Standard,25,2025-11-15 15:18:05,Completed,2025-11-15 14:31:05
R0000150,2025-11-15 07:08:56,Housekeeping,Standard,35,2025-11-15 09:05:56,Completed,2025-11-15 07:57:56
R0000151,2025-11-15 08:11:44,F&B,Standard,25,2025-11-15 10:56:44,Completed,2025-11-15 08:40:44
R0000152,2025-11-15 14:05:50,F&B,Standard,25,2025-11-15 16:52:50,Completed,2025-11-15 14:51:50
R0000153,2025-11-15 21:48:17,Housekeeping,Standard,35,2025-11-16 00:37:17,Completed,2025-11-15 22:33:17
R0000154,2025-11-15 19:19:23,F&B,Standard,25,2025-11-15 22:06:23,Completed,2025-11-15 19:36:23
R0000155,2025-11-15 18:51:19,Housekeeping,Standard,35,2025-11-15 20:12:19,Completed,2025-11-15 19:24:19
R0000156,2025-11-15 21:31:02,FrontDesk,Standard,12,2025-11-16 00:16:02,Completed,2025-11-15 22:07:02
R0000157,2025-11-15 20:28:55,Maintenance,Standard,55,2025-11-15 22:48:55,Completed,2025-11-15 21:25:55
R0000158,2025-11-15 22:38:01,FrontDesk,Standard,12,2025-11-16 00:07:01,Open,
R0000159,2025-11-15 20:06:26,F&B,Urgent,12,2025-11-15 20:45:26,In_Progress,
R0000160,2025-11-15 09:47:39,Housekeeping,Standard,35,2025-11-15 12:47:39,Completed,2025-11-15 10:23:39
R0000161,2025-11-15 20:29:20,FrontDesk,Standard,12,2025-11-15 22:02:20,Completed,2025-11-15 21:00:20
R0000162,2025-11-15 17:54:59,F&B,Standard,25,2025-11-15 19:48:59,Completed,2025-11-15 18:22:59
R0000163,2025-11-15 07:52:21,Housekeeping,Standard,35,2025-11-15 09:04:21,Completed,2025-11-15 08:55:21
R0000164,2025-11-15 07:09:59,Housekeeping,Urgent,18,2025-11-15 07:53:59,In_Progress,
R0000165,2025-11-15 07:01:23,Housekeeping,Standard,35,2025-11-15 08:35:23,Completed,2025-11-15 07:33:23
R0000166,2025-11-15 14:18:22,Housekeeping,Standard,35,2025-11-15 16:24:22,Completed,2025-11-15 14:48:22
R0000167,2025-11-15 19:55:11,F&B,Standard,25,2025-11-15 22:25:11,Completed,2025-11-15 20:53:11
R0000168,2025-11-15 20:29:13,F&B,Standard,25,2025-11-15 22:55:13,Completed,2025-11-15 21:06:13
R0000169,2025-11-15 15:24:25,F&B,Standard,25,2025-11-15 18:02:25,Completed,2025-11-15 16:07:25
R0000170,2025-11-15 10:42:04,F&B,Standard,25,2025-11-15 12:47:04,Completed,2025-11-15 11:23:04
R0000171,2025-11-15 20:06:58,FrontDesk,Standard,12,2025-11-15 22:04:58,Completed,2025-11-15 20:17:58
R0000172,2025-11-15 12:09:20,F&B,Standard,25,2025-11-15 14:56:20,Completed,2025-11-15 12:47:20
R0000173,2025-11-15 20:19:38,FrontDesk,Standard,12,2025-11-15 22:25:38,Completed,2025-11-15 20:38:38
R0000174,2025-11-15 15:47:04,Housekeeping,Standard,35,2025-11-15 18:36:04,Completed,2025-11-15 16:39:04
R0000175,2025-11-15 12:51:53,F&B,Standard,25,2025-11-15 14:44:53,Completed,2025-11-15 13:21:53
R0000176,2025-11-15 19:15:23,F&B,Standard,25,2025-11-15 22:05:23,Completed,2025-11-15 19:44:23
R0000177,2025-11-15 07:46:28,F&B,Urgent,12,2025-11-15 08:46:28,Completed,2025-11-15 08:06:28
R0000178,2025-11-15 07:26:30,Housekeeping,Standard,35,2025-11-15 08:43:30,Completed,2025-11-15 07:59:30
R0000179,2025-11-15 13:39:21,F&B,Standard,25,2025-11-15 14:58:21,Completed,2025-11-15 14:10:21
R0000180,2025-11-15 18:16:54,F&B,Standard,25,2025-11-15 20:33:54,Completed,2025-11-15 19:13:54
R0000181,2025-11-15 07:48:06,Housekeeping,Standard,35,2025-11-15 10:26:06,Completed,2025-11-15 08:49:06
R0000182,2025-11-15 12:21:32,Housekeeping,Standard,35,2025-11-15 13:45:32,Completed,2025-11-15 13:17:32
R0000183,2025-11-15 11:52:15,F&B,Standard,25,2025-11-15 13:42:15,Completed,2025-11-15 12:46:15
R0000184,2025-11-15 21:34:22,Housekeeping,Standard,35,2025-11-15 23:12:22,Completed,2025-11-15 22:38:22
R0000185,2025-11-15 13:44:22,FrontDesk,Urgent,6,2025-11-15 14:42:22,Completed,2025-11-15 14:10:22
R0000186,2025-11-15 08:36:29,Housekeeping,Standard,35,2025-11-15 09:38:29,Completed,2025-11-15 09:14:29
R0000187,2025-11-15 19:26:57,F&B,Standard,25,2025-11-15 22:26:57,Completed,2025-11-15 20:11:57
R0000188,2025-11-15 20:43:08,F&B,Standard,25,2025-11-15 22:35:08,Completed,2025-11-15 21:34:08
R0000189,2025-11-15 17:14:54,F&B,Standard,25,2025-11-15 18:34:54,Open,
R0000190,2025-11-15 11:01:51,Housekeeping,Standard,35,2025-11-15 13:38:51,Completed,2025-11-15 11:43:51
R0000191,2025-11-15 12:45:16,Housekeeping,Standard,35,2025-11-15 14:18:16,Open,
R0000192,2025-11-15 08:25:47,FrontDesk,Standard,12,2025-11-15 11:05:47,Completed,2025-11-15 08:53:47
R0000193,2025-11-15 15:29:42,F&B,Standard,25,2025-11-15 17:43:42,Completed,2025-11-15 15:43:42
R0000194,2025-11-15 21:31:07,Housekeeping,Standard,35,2025-11-16 00:23:07,Completed,2025-11-15 22:09:07
R0000195,2025-11-15 20:38:24,F&B,Standard,25,2025-11-15 21:39:24,Completed,2025-11-15 21:06:24
R0000196,2025-11-15 10:52:33,F&B,Standard,25,2025-11-15 12:18:33,Completed,2025-11-15 11:19:33
R0000197,2025-11-15 16:33:01,F&B,Standard,25,2025-11-15 18:39:01,Completed,2025-11-15 17:16:01
R0000198,2025-11-15 14:17:17,F&B,Standard,25,2025-11-15 15:26:17,Completed,2025-11-15 14:53:17
R0000199,2025-11-15 21:53:30,F&B,Standard,25,2025-11-15 23:38:30,Completed,2025-11-15 22:27:30
R0000200,2025-11-15 11:22:48,Housekeeping,Standard,35,2025-11-15 12:39:48,Completed,2025-11-15 12:06:48
R0000201,2025-11-15 12:01:09,Housekeeping,Standard,35,2025-11-15 14:16:09,Completed,2025-11-15 12:44:09
R0000202,2025-11-15 07:06:48,FrontDesk,Standard,12,2025-11-15 08:56:48,Completed,2025-11-15 07:30:48
R0000203,2025-11-15 12:27:30,F&B,Standard,25,2025-11-15 13:44:30,Completed,2025-11-15 13:11:30
R0000204,2025-11-15 10:55:44,FrontDesk,Standard,12,2025-11-15 13:33:44,Completed,2025-11-15 11:09:44
R0000205,2025-11-15 15:40:48,F&B,Standard,25,2025-11-15 18:24:48,Completed,2025-11-15 16:08:48
R0000206,2025-11-15 13:31:16,FrontDesk,Standard,12,2025-11-15 16:22:16,Completed,2025-11-15 13:54:16
R0000207,2025-11-15 07:49:36,F&B,Standard,25,2025-11-15 09:49:36,Completed,2025-11-15 08:07:36
R0000208,2025-11-15 11:29:12,FrontDesk,Standard,12,2025-11-15 14:15:12,Completed,2025-11-15 12:03:12
R0000209,2025-11-15 18:17:12,F&B,Urgent,12,2025-11-15 19:17:12,Open,
R0000210,2025-11-15 12:55:20,FrontDesk,Standard,12,2025-11-15 14:35:20,Completed,2025-11-15 13:07:20
R0000211,2025-11-15 10:41:29,FrontDesk,Urgent,6,2025-11-15 11:40:29,Completed,2025-11-15 11:04:29
R0000212,2025-11-15 14:43:04,Maintenance,Standard,55,2025-11-15 17:24:04,Completed,2025-11-15 15:43:04
R0000213,2025-11-15 20:24:14,F&B,Standard,25,2025-11-15 22:00:14,Completed,2025-11-15 20:51:14
R0000214,2025-11-15 07:25:33,FrontDesk,Standard,12,2025-11-15 08:55:33,Completed,2025-11-15 07:55:33
R0000215,2025-11-15 20:15:56,Housekeeping,Standard,35,2025-11-15 22:07:56,Completed,2025-11-15 21:19:56
R0000216,2025-11-15 13:39:18,Housekeeping,Standard,35,2025-11-15 16:18:18,Completed,2025-11-15 14:50:18
R0000217,2025-11-15 11:20:15,Housekeeping,Standard,35,2025-11-15 13:00:15,Completed,2025-11-15 11:59:15
R0000218,2025-11-15 21:07:23,F&B,Standard,25,2025-11-15 22:58:23,In_Progress,
R0000219,2025-11-15 12:09:44,FrontDesk,Standard,12,2025-11-15 14:33:44,Open,
R0000220,2025-11-15 07:48:24,Housekeeping,Standard,35,2025-11-15 09:40:24,Completed,2025-11-15 08:34:24
R0000221,2025-11-15 21:17:32,Housekeeping,Standard,35,2025-11-15 22:19:32,Completed,2025-11-15 22:04:32
R0000222,2025-11-15 18:08:37,FrontDesk,Standard,12,2025-11-15 19:48:37,Open,
R0000223,2025-11-15 09:39:57,Housekeeping,Standard,35,2025-11-15 12:05:57,Completed,2025-11-15 10:29:57
R0000224,2025-11-15 18:19:21,F&B,Standard,25,2025-11-15 21:03:21,Completed,2025-11-15 18:58:21
R0000225,2025-11-15 15:33:47,FrontDesk,Standard,12,2025-11-15 17:35:47,Completed,2025-11-15 16:11:47
R0000226,2025-11-15 16:47:02,F&B,Standard,25,2025-11-15 17:53:02,Completed,2025-11-15 17:22:02
R0000227,2025-11-15 14:28:28,Housekeeping,Standard,35,2025-11-15 16:54:28,Completed,2025-11-15 15:22:28
R0000228,2025-11-15 13:09:38,Housekeeping,Standard,35,2025-11-15 14:12:38,Completed,2025-11-15 13:49:38
R0000229,2025-11-15 20:07:33,Maintenance,Standard,55,2025-11-15 21:48:33,In_Progress,
R0000230,2025-11-15 15:53:29,FrontDesk,Standard,12,2025-11-15 18:44:29,Completed,2025-11-15 16:38:29
R0000231,2025-11-15 12:04:59,Housekeeping,Standard,35,2025-11-15 14:06:59,Completed,2025-11-15 13:00:59
R0000232,2025-11-15 14:45:44,FrontDesk,Urgent,6,2025-11-15 15:09:44,Completed,2025-11-15 14:51:44
R0000233,2025-11-15 19:28:10,FrontDesk,Standard,12,2025-11-15 21:05:10,Completed,2025-11-15 19:39:10
R0000234,2025-11-15 22:41:01,Housekeeping,Standard,35,2025-11-16 00:37:01,Completed,2025-11-15 23:28:01
R0000235,2025-11-15 20:08:28,F&B,Standard,25,2025-11-15 22:03:28,Completed,2025-11-15 20:47:28
R0000236,2025-11-15 11:27:31,Housekeeping,Standard,35,2025-11-15 12:28:31,Completed,2025-11-15 12:30:31
R0000237,2025-11-15 20:55:41,F&B,Standard,25,2025-11-15 23:20:41,Completed,2025-11-15 21:41:41
