staff_id,role,shift_date,shift_start,shift_end,planned_minutes,available_minutes,absence_flag
S003,FrontDesk,2025-11-22,10:00,18:00,480,451,0
S005,FrontDesk,2025-11-22,15:00,23:00,480,476,0
S004,FrontDesk,2025-11-22,07:00,15:00,480,469,0
S020,Housekeeping,2025-11-22,07:00,15:00,480,466,0
S011,Housekeeping,2025-11-22,10:00,18:00,480,450,0
S010,Housekeeping,2025-11-22,15:00,23:00,480,466,0
S014,Housekeeping,2025-11-22,07:00,15:00,480,465,0
S019,Housekeeping,2025-11-22,10:00,18:00,480,452,0
S009,Housekeeping,2025-11-22,15:00,23:00,480,468,0
S012,Housekeeping,2025-11-22,07:00,15:00,480,450,0
S016,Housekeeping,2025-11-22,10:00,18:00,480,456,0
S017,Housekeeping,2025-11-22,15:00,23:00,480,455,0
S013,Housekeeping,2025-11-22,07:00,15:00,480,480,0
S032,F&B,2025-11-22,07:00,15:00,480,472,0
S029,F&B,2025-11-22,10:00,18:00,480,0,1
S034,F&B,2025-11-22,15:00,23:00,480,0,1
S031,F&B,2025-11-22,07:00,15:00,480,0,1
S030,F&B,2025-11-22,10:00,18:00,480,460,0
S025,F&B,2025-11-22,15:00,23:00,480,451,0
S027,F&B,2025-11-22,07:00,15:00,480,473,0
S023,F&B,2025-11-22,10:00,18:00,480,0,1
S026,F&B,2025-11-22,15:00,23:00,480,450,0
S001,FrontDesk,2025-11-23,07:00,15:00,480,464,0
S006,FrontDesk,2025-11-23,10:00,18:00,480,457,0
S008,FrontDesk,2025-11-23,15:00,23:00,480,467,0
S007,FrontDesk,2025-11-23,07:00,15:00,480,476,0
S004,FrontDesk,2025-11-23,10:00,18:00,480,480,0
S002,FrontDesk,2025-11-23,15:00,23:00,480,472,0
S005,FrontDesk,2025-11-23,07:00,15:00,480,457,0
S017,Housekeeping,2025-11-23,07:00,15:00,480,464,0
S019,Housekeeping,2025-11-23,10:00,18:00,480,456,0
S015,Housekeeping,2025-11-23,15:00,23:00,480,467,0
S018,Housekeeping,2025-11-23,07:00,15:00,480,476,0
S020,Housekeeping,2025-11-23,10:00,18:00,480,468,0
S012,Housekeeping,2025-11-23,15:00,23:00,480,463,0
S009,Housekeeping,2025-11-23,07:00,15:00,480,467,0
S014,Housekeeping,2025-11-23,10:00,18:00,480,451,0
S016,Housekeeping,2025-11-23,15:00,23:00,480,459,0
S011,Housekeeping,2025-11-23,07:00,15:00,480,468,0
S025,F&B,2025-11-23,07:00,15:00,480,468,0
S023,F&B,2025-11-23,10:00,18:00,480,462,0
S027,F&B,2025-11-23,15:00,23:00,480,0,1
S026,F&B,2025-11-23,07:00,15:00,480,471,0
S034,F&B,2025-11-23,10:00,18:00,480,476,0
S028,F&B,2025-11-23,15:00,23:00,480,474,0
S030,F&B,2025-11-23,07:00,15:00,480,462,0
S032,F&B,2025-11-23,10:00,18:00,480,459,0
S029,F&B,2025-11-23,15:00,23:00,480,461,0
S008,FrontDesk,2025-11-24,07:00,15:00,480,451,0
S006,FrontDesk,2025-11-24,10:00,18:00,480,465,0
S003,FrontDesk,2025-11-24,15:00,23:00,480,477,0
S005,FrontDesk,2025-11-24,07:00,15:00,480,452,0
S002,FrontDesk,2025-11-24,10:00,18:00,480,472,0
S010,Housekeeping,2025-11-24,07:00,15:00,480,463,0
S013,Housekeeping,2025-11-24,10:00,18:00,480,470,0
S011,Housekeeping,2025-11-24,15:00,23:00,480,478,0
S018,Housekeeping,2025-11-24,07:00,15:00,480,0,1
S019,Housekeeping,2025-11-24,10:00,18:00,480,457,0
S015,Housekeeping,2025-11-24,15:00,23:00,480,468,0
S009,Housekeeping,2025-11-24,07:00,15:00,480,469,0
S014,Housekeeping,2025-11-24,10:00,18:00,480,460,0
S023,F&B,2025-11-24,07:00,15:00,480,457,0
S034,F&B,2025-11-24,10:00,18:00,480,468,0
S033,F&B,2025-11-24,15:00,23:00,480,0,1
S026,F&B,2025-11-24,07:00,15:00,480,457,0
S025,F&B,2025-11-24,10:00,18:00,480,464,0
S032,F&B,2025-11-24,15:00,23:00,480,468,0
S027,F&B,2025-11-24,07:00,15:00,480,455,0
S006,FrontDesk,2025-11-25,07:00,15:00,480,467,0
S003,FrontDesk,2025-11-25,10:00,18:00,480,455,0
S004,FrontDesk,2025-11-25,15:00,23:00,480,457,0
S002,FrontDesk,2025-11-25,07:00,15:00,480,452,0
S007,FrontDesk,2025-11-25,10:00,18:00,480,476,0
S021,Housekeeping,2025-11-25,07:00,15:00,480,478,0
S010,Housekeeping,2025-11-25,10:00,18:00,480,454,0
S013,Housekeeping,2025-11-25,15:00,23:00,480,461,0
S015,Housekeeping,2025-11-25,07:00,15:00,480,456,0
S017,Housekeeping,2025-11-25,10:00,18:00,480,457,0
S011,Housekeeping,2025-11-25,15:00,23:00,480,457,0
S009,Housekeeping,2025-11-25,07:00,15:00,480,464,0
S016,Housekeeping,2025-11-25,10:00,18:00,480,470,0
S034,F&B,2025-11-25,07:00,15:00,480,462,0
S032,F&B,2025-11-25,10:00,18:00,480,465,0
S025,F&B,2025-11-25,15:00,23:00,480,480,0
S029,F&B,2025-11-25,07:00,15:00,480,468,0
S026,F&B,2025-11-25,10:00,18:00,480,468,0
S027,F&B,2025-11-25,15:00,23:00,480,475,0
S031,F&B,2025-11-25,07:00,15:00,480,472,0
S008,FrontDesk,2025-11-26,07:00,15:00,480,0,1
S005,FrontDesk,2025-11-26,10:00,18:00,480,475,0
S001,FrontDesk,2025-11-26,15:00,23:00,480,459,0
S004,FrontDesk,2025-11-26,07:00,15:00,480,456,0
S006,FrontDesk,2025-11-26,10:00,18:00,480,461,0
S012,Housekeeping,2025-11-26,07:00,15:00,480,458,0
S016,Housekeeping,2025-11-26,10:00,18:00,480,451,0
S018,Housekeeping,2025-11-26,15:00,23:00,480,460,0
S015,Housekeeping,2025-11-26,07:00,15:00,480,476,0
S022,Housekeeping,2025-11-26,10:00,18:00,480,472,0
S014,Housekeeping,2025-11-26,15:00,23:00,480,461,0
S017,Housekeeping,2025-11-26,07:00,15:00,480,470,0
S019,Housekeeping,2025-11-26,10:00,18:00,480,465,0
S028,F&B,2025-11-26,07:00,15:00,480,474,0
S030,F&B,2025-11-26,10:00,18:00,480,463,0
S027,F&B,2025-11-26,15:00,23:00,480,467,0
S032,F&B,2025-11-26,07:00,15:00,480,455,0
S029,F&B,2025-11-26,10:00,18:00,480,451,0
S033,F&B,2025-11-26,15:00,23:00,480,479,0
S026,F&B,2025-11-26,07:00,15:00,480,457,0
S003,FrontDesk,2025-11-27,07:00,15:00,480,452,0
S007,FrontDesk,2025-11-27,10:00,18:00,480,473,0
S004,FrontDesk,2025-11-27,15:00,23:00,480,467,0
S005,FrontDesk,2025-11-27,07:00,15:00,480,480,0
S001,FrontDesk,2025-11-27,10:00,18:00,480,464,0
S009,Housekeeping,2025-11-27,07:00,15:00,480,459,0
S018,Housekeeping,2025-11-27,10:00,18:00,480,462,0
S019,Housekeeping,2025-11-27,15:00,23:00,480,463,0
S022,Housekeeping,2025-11-27,07:00,15:00,480,453,0
S017,Housekeeping,2025-11-27,10:00,18:00,480,460,0
S016,Housekeeping,2025-11-27,15:00,23:00,480,470,0
S012,Housekeeping,2025-11-27,07:00,15:00,480,464,0
S015,Housekeeping,2025-11-27,10:00,18:00,480,450,0
S032,F&B,2025-11-27,07:00,15:00,480,468,0
S027,F&B,2025-11-27,10:00,18:00,480,470,0
S025,F&B,2025-11-27,15:00,23:00,480,476,0
S030,F&B,2025-11-27,07:00,15:00,480,470,0
S024,F&B,2025-11-27,10:00,18:00,480,0,1
S029,F&B,2025-11-27,15:00,23:00,480,474,0
S034,F&B,2025-11-27,07:00,15:00,480,453,0
S002,FrontDesk,2025-11-28,07:00,15:00,480,470,0
S006,FrontDesk,2025-11-28,10:00,18:00,480,453,0
S003,FrontDesk,2025-11-28,15:00,23:00,480,453,0
S007,FrontDesk,2025-11-28,07:00,15:00,480,452,0
S008,FrontDesk,2025-11-28,10:00,18:00,480,474,0
S012,Housekeeping,2025-11-28,07:00,15:00,480,473,0
S022,Housekeeping,2025-11-28,10:00,18:00,480,456,0
S019,Housekeeping,2025-11-28,15:00,23:00,480,454,0
S009,Housekeeping,2025-11-28,07:00,15:00,480,466,0
S021,Housekeeping,2025-11-28,10:00,18:00,480,473,0
S013,Housekeeping,2025-11-28,15:00,23:00,480,455,0
S016,Housekeeping,2025-11-28,07:00,15:00,480,466,0
S014,Housekeeping,2025-11-28,10:00,18:00,480,475,0
S031,F&B,2025-11-28,07:00,15:00,480,477,0
S023,F&B,2025-11-28,10:00,18:00,480,463,0
S025,F&B,2025-11-28,15:00,23:00,480,478,0
S033,F&B,2025-11-28,07:00,15:00,480,456,0
S032,F&B,2025-11-28,10:00,18:00,480,471,0
S024,F&B,2025-11-28,15:00,23:00,480,461,0
S028,F&B,2025-11-28,07:00,15:00,480,469,0
S029,F&B,2025-11-28,10:00,18:00,480,467,0
S005,FrontDesk,2025-11-29,07:00,15:00,480,0,1
S002,FrontDesk,2025-11-29,10:00,18:00,480,472,0
S006,FrontDesk,2025-11-29,15:00,23:00,480,465,0
S007,FrontDesk,2025-11-29,07:00,15:00,480,463,0
S004,FrontDesk,2025-11-29,10:00,18:00,480,456,0
S001,FrontDesk,2025-11-29,15:00,23:00,480,473,0
S003,FrontDesk,2025-11-29,07:00,15:00,480,471,0
S015,Housekeeping,2025-11-29,07:00,15:00,480,479,0
S011,Housekeeping,2025-11-29,10:00,18:00,480,478,0
S022,Housekeeping,2025-11-29,15:00,23:00,480,480,0
S021,Housekeeping,2025-11-29,07:00,15:00,480,0,1
S017,Housekeeping,2025-11-29,10:00,18:00,480,459,0
S018,Housekeeping,2025-11-29,15:00,23:00,480,461,0
S020,Housekeeping,2025-11-29,07:00,15:00,480,473,0
S014,Housekeeping,2025-11-29,10:00,18:00,480,462,0
S013,Housekeeping,2025-11-29,15:00,23:00,480,0,1
S012,Housekeeping,2025-11-29,07:00,15:00,480,464,0
S025,F&B,2025-11-29,07:00,15:00,480,458,0
S027,F&B,2025-11-29,10:00,18:00,480,455,0
S032,F&B,2025-11-29,15:00,23:00,480,477,0
S031,F&B,2025-11-29,07:00,15:00,480,462,0
S030,F&B,2025-11-29,10:00,18:00,480,461,0
S034,F&B,2025-11-29,15:00,23:00,480,471,0
S029,F&B,2025-11-29,07:00,15:00,480,0,1
S026,F&B,2025-11-29,10:00,18:00,480,469,0
S023,F&B,2025-11-29,15:00,23:00,480,480,0
S008,FrontDesk,2025-11-30,07:00,15:00,480,477,0
S005,FrontDesk,2025-11-30,10:00,18:00,480,479,0
S003,FrontDesk,2025-11-30,15:00,23:00,480,475,0
S007,FrontDesk,2025-11-30,07:00,15:00,480,472,0
S006,FrontDesk,2025-11-30,10:00,18:00,480,0,1
S002,FrontDesk,2025-11-30,15:00,23:00,480,480,0
S004,FrontDesk,2025-11-30,07:00,15:00,480,468,0
S017,Housekeeping,2025-11-30,07:00,15:00,480,475,0
S011,Housekeeping,2025-11-30,10:00,18:00,480,480,0
S013,Housekeeping,2025-11-30,15:00,23:00,480,454,0
S012,Housekeeping,2025-11-30,07:00,15:00,480,453,0
S010,Housekeeping,2025-11-30,10:00,18:00,480,475,0
S021,Housekeeping,2025-11-30,15:00,23:00,480,463,0
S016,Housekeeping,2025-11-30,07:00,15:00,480,464,0
S009,Housekeeping,2025-11-30,10:00,18:00,480,458,0
S014,Housekeeping,2025-11-30,15:00,23:00,480,458,0
S015,Housekeeping,2025-11-30,07:00,15:00,480,450,0
S034,F&B,2025-11-30,07:00,15:00,480,459,0
S032,F&B,2025-11-30,10:00,18:00,480,472,0
S025,F&B,2025-11-30,15:00,23:00,480,475,0
S028,F&B,2025-11-30,07:00,15:00,480,450,0
S031,F&B,2025-11-30,10:00,18:00,480,452,0
S030,F&B,2025-11-30,15:00,23:00,480,453,0
S026,F&B,2025-11-30,07:00,15:00,480,458,0
S033,F&B,2025-11-30,10:00,18:00,480,468,0
S023,F&B,2025-11-30,15:00,23:00,480,464,0
S008,FrontDesk,2025-12-01,07:00,15:00,480,452,0
S007,FrontDesk,2025-12-01,10:00,18:00,480,465,0
S003,FrontDesk,2025-12-01,15:00,23:00,480,477,0
S004,FrontDesk,2025-12-01,07:00,15:00,480,466,0
S006,FrontDesk,2025-12-01,10:00,18:00,480,480,0
S019,Housekeeping,2025-12-01,07:00,15:00,480,468,0
S015,Housekeeping,2025-12-01,10:00,18:00,480,465,0
S012,Housekeeping,2025-12-01,15:00,23:00,480,466,0
S014,Housekeeping,2025-12-01,07:00,15:00,480,469,0
S018,Housekeeping,2025-12-01,10:00,18:00,480,468,0
S017,Housekeeping,2025-12-01,15:00,23:00,480,471,0
S016,Housekeeping,2025-12-01,07:00,15:00,480,459,0
S020,Housekeeping,2025-12-01,10:00,18:00,480,458,0
S033,F&B,2025-12-01,07:00,15:00,480,479,0
S027,F&B,2025-12-01,10:00,18:00,480,466,0
S030,F&B,2025-12-01,15:00,23:00,480,480,0
S024,F&B,2025-12-01,07:00,15:00,480,466,0
S034,F&B,2025-12-01,10:00,18:00,480,460,0
S029,F&B,2025-12-01,15:00,23:00,480,465,0
S023,F&B,2025-12-01,07:00,15:00,480,476,0
S006,FrontDesk,2025-12-02,07:00,15:00,480,469,0
S005,FrontDesk,2025-12-02,10:00,18:00,480,451,0
S002,FrontDesk,2025-12-02,15:00,23:00,480,451,0
S008,FrontDesk,2025-12-02,07:00,15:00,480,471,0
S003,FrontDesk,2025-12-02,10:00,18:00,480,455,0
S019,Housekeeping,2025-12-02,07:00,15:00,480,458,0
S010,Housekeeping,2025-12-02,10:00,18:00,480,471,0
S016,Housekeeping,2025-12-02,15:00,23:00,480,477,0
S011,Housekeeping,2025-12-02,07:00,15:00,480,457,0
S015,Housekeeping,2025-12-02,10:00,18:00,480,462,0
S014,Housekeeping,2025-12-02,15:00,23:00,480,451,0
S013,Housekeeping,2025-12-02,07:00,15:00,480,458,0
S017,Housekeeping,2025-12-02,10:00,18:00,480,477,0
S029,F&B,2025-12-02,07:00,15:00,480,454,0
S024,F&B,2025-12-02,10:00,18:00,480,464,0
S027,F&B,2025-12-02,15:00,23:00,480,464,0
S023,F&B,2025-12-02,07:00,15:00,480,471,0
S033,F&B,2025-12-02,10:00,18:00,480,476,0
S028,F&B,2025-12-02,15:00,23:00,480,480,0
S031,F&B,2025-12-02,07:00,15:00,480,456,0
S008,FrontDesk,2025-12-03,07:00,15:00,480,476,0
S002,FrontDesk,2025-12-03,10:00,18:00,480,478,0
S003,FrontDesk,2025-12-03,15:00,23:00,480,466,0
S004,FrontDesk,2025-12-03,07:00,15:00,480,469,0
S006,FrontDesk,2025-12-03,10:00,18:00,480,463,0
S013,Housekeeping,2025-12-03,07:00,15:00,480,468,0
S021,Housekeeping,2025-12-03,10:00,18:00,480,454,0
S011,Housekeeping,2025-12-03,15:00,23:00,480,450,0
S022,Housekeeping,2025-12-03,07:00,15:00,480,469,0
S009,Housekeeping,2025-12-03,10:00,18:00,480,466,0
S020,Housekeeping,2025-12-03,15:00,23:00,480,459,0
S016,Housekeeping,2025-12-03,07:00,15:00,480,470,0
S010,Housekeeping,2025-12-03,10:00,18:00,480,479,0
S030,F&B,2025-12-03,07:00,15:00,480,457,0
S027,F&B,2025-12-03,10:00,18:00,480,480,0
S032,F&B,2025-12-03,15:00,23:00,480,453,0
S023,F&B,2025-12-03,07:00,15:00,480,479,0
S034,F&B,2025-12-03,10:00,18:00,480,467,0
S029,F&B,2025-12-03,15:00,23:00,480,476,0
S033,F&B,2025-12-03,07:00,15:00,480,476,0
S002,FrontDesk,2025-12-04,07:00,15:00,480,478,0
S006,FrontDesk,2025-12-04,10:00,18:00,480,466,0
S004,FrontDesk,2025-12-04,15:00,23:00,480,463,0
S005,FrontDesk,2025-12-04,07:00,15:00,480,475,0
S003,FrontDesk,2025-12-04,10:00,18:00,480,462,0
S016,Housekeeping,2025-12-04,07:00,15:00,480,458,0
S018,Housekeeping,2025-12-04,10:00,18:00,480,469,0
S009,Housekeeping,2025-12-04,15:00,23:00,480,453,0
S013,Housekeeping,2025-12-04,07:00,15:00,480,463,0
S017,Housekeeping,2025-12-04,10:00,18:00,480,458,0
S021,Housekeeping,2025-12-04,15:00,23:00,480,452,0
S011,Housekeeping,2025-12-04,07:00,15:00,480,468,0
S012,Housekeeping,2025-12-04,10:00,18:00,480,470,0
S034,F&B,2025-12-04,07:00,15:00,480,480,0
S033,F&B,2025-12-04,10:00,18:00,480,475,0
S026,F&B,2025-12-04,15:00,23:00,480,456,0
S030,F&B,2025-12-04,07:00,15:00,480,452,0
S024,F&B,2025-12-04,10:00,18:00,480,460,0
S025,F&B,2025-12-04,15:00,23:00,480,457,0
S031,F&B,2025-12-04,07:00,15:00,480,476,0
S002,FrontDesk,2025-12-05,07:00,15:00,480,459,0
S006,FrontDesk,2025-12-05,10:00,18:00,480,457,0
S008,FrontDesk,2025-12-05,15:00,23:00,480,473,0
S007,FrontDesk,2025-12-05,07:00,15:00,480,458,0
S004,FrontDesk,2025-12-05,10:00,18:00,480,450,0
S009,Housekeeping,2025-12-05,07:00,15:00,480,454,0
S014,Housekeeping,2025-12-05,10:00,18:00,480,459,0
S018,Housekeeping,2025-12-05,15:00,23:00,480,465,0
S012,Housekeeping,2025-12-05,07:00,15:00,480,455,0
S020,Housekeeping,2025-12-05,10:00,18:00,480,473,0
S013,Housekeeping,2025-12-05,15:00,23:00,480,471,0
S019,Housekeeping,2025-12-05,07:00,15:00,480,454,0
S021,Housekeeping,2025-12-05,10:00,18:00,480,450,0
S033,F&B,2025-12-05,07:00,15:00,480,469,0
S028,F&B,2025-12-05,10:00,18:00,480,468,0
S026,F&B,2025-12-05,15:00,23:00,480,471,0
S031,F&B,2025-12-05,07:00,15:00,480,454,0
S029,F&B,2025-12-05,10:00,18:00,480,0,1
S023,F&B,2025-12-05,15:00,23:00,480,466,0
S027,F&B,2025-12-05,07:00,15:00,480,456,0
S024,F&B,2025-12-05,10:00,18:00,480,459,0
S004,FrontDesk,2025-12-06,07:00,15:00,480,453,0
S008,FrontDesk,2025-12-06,10:00,18:00,480,452,0
S005,FrontDesk,2025-12-06,15:00,23:00,480,451,0
S002,FrontDesk,2025-12-06,07:00,15:00,480,476,0
S006,FrontDesk,2025-12-06,10:00,18:00,480,466,0
