request_id,staff_id,assigned_dt,completed_dt,actual_minutes
R0000033,S026,2025-11-15 18:05:04,2025-11-15 18:17:04,5.0
R0000034,S001,2025-11-15 21:03:28,2025-11-15 20:56:28,10.0
R0000035,S021,2025-11-15 19:15:12,2025-11-15 19:54:12,24.0
R0000036,S026,2025-11-15 10:48:05,2025-11-15 11:06:05,19.0
R0000037,S032,2025-11-15 20:41:26,2025-11-15 20:51:26,21.0
R0000038,S006,2025-11-15 14:48:31,2025-11-15 14:57:31,17.0
R0000039,S032,2025-11-15 16:30:35,2025-11-15 16:32:35,20.0
R0000040,S003,2025-11-15 20:38:17,2025-11-15 20:27:17,10.0
R0000041,S003,2025-11-15 22:32:00,2025-11-15 22:37:00,13.0
R0000042,S013,2025-11-15 14:39:55,,
R0000043,S018,2025-11-15 21:01:51,2025-11-15 21:22:51,46.0
R0000044,S033,2025-11-15 18:38:22,2025-11-15 18:56:22,29.0
R0000045,S004,2025-11-15 13:57:44,2025-11-15 14:10:44,15.0
R0000046,S029,2025-11-15 20:21:41,2025-11-15 20:13:41,26.0
R0000047,S007,2025-11-15 12:20:49,2025-11-15 12:37:49,8.0
R0000048,S004,2025-11-15 16:18:47,2025-11-15 16:48:47,61.0
R0000049,S027,2025-11-15 21:54:29,,
R0000050,S003,2025-11-15 21:06:36,2025-11-15 21:25:36,12.0
R0000051,S021,2025-11-15 21:33:16,2025-11-15 22:16:16,39.0
R0000052,S003,2025-11-15 18:08:24,2025-11-15 18:16:24,19.0
R0000053,S032,2025-11-15 22:22:06,2025-11-15 22:32:06,20.0
R0000054,S016,2025-11-15 09:49:56,2025-11-15 10:26:56,37.0
R0000055,S029,2025-11-15 22:10:05,,
R0000056,S021,2025-11-15 11:44:33,2025-11-15 12:15:33,39.0
R0000057,S006,2025-11-15 19:41:24,2025-11-15 19:40:24,10.0
R0000058,S018,2025-11-15 12:03:41,2025-11-15 12:12:41,33.0
R0000059,S008,2025-11-15 21:56:54,2025-11-15 22:50:54,49.0
R0000060,S003,2025-11-15 16:25:04,2025-11-15 16:38:04,12.0
R0000061,S008,2025-11-15 19:03:29,2025-11-15 19:19:29,8.0
R0000062,S003,2025-11-15 22:13:09,2025-11-15 22:44:09,14.0
R0000063,S013,2025-11-15 14:45:19,2025-11-15 15:04:19,44.0
R0000064,S001,2025-11-15 12:19:10,2025-11-15 12:48:10,10.0
R0000065,S001,2025-11-15 11:44:34,2025-11-15 12:16:34,55.0
R0000066,S023,2025-11-15 17:51:04,2025-11-15 18:16:04,32.0
R0000067,S029,2025-11-15 08:12:03,2025-11-15 08:28:03,10.0
R0000068,S003,2025-11-15 21:26:03,2025-11-15 22:11:03,61.0
R0000069,S011,2025-11-15 14:20:18,2025-11-15 14:27:18,39.0
R0000070,S029,2025-11-15 10:49:00,2025-11-15 11:17:00,42.0
R0000071,S018,2025-11-15 19:01:11,2025-11-15 19:13:11,14.0
R0000072,S028,2025-11-15 11:57:31,2025-11-15 12:21:31,32.0
R0000073,S016,2025-11-15 11:44:58,2025-11-15 12:23:58,21.0
R0000074,S023,2025-11-15 19:50:50,2025-11-15 19:48:50,11.0
R0000075,S033,2025-11-15 14:44:40,,
R0000076,S020,2025-11-15 09:00:24,2025-11-15 09:16:24,31.0
R0000077,S015,2025-11-15 09:10:16,2025-11-15 09:51:16,30.0
R0000078,S026,2025-11-15 18:40:20,2025-11-15 18:43:20,13.0
R0000079,S021,2025-11-15 09:49:20,2025-11-15 10:09:20,32.0
R0000080,S015,2025-11-15 22:31:53,2025-11-15 22:31:53,21.0
R0000081,S004,2025-11-15 13:25:03,,
R0000082,S020,2025-11-15 10:19:42,2025-11-15 09:55:42,17.0
R0000083,S020,2025-11-15 22:09:26,,
R0000084,S032,2025-11-15 19:47:00,,26.0
R0000085,S022,2025-11-15 12:35:31,,
R0000086,S022,2025-11-15 18:29:45,2025-11-15 19:33:45,45.0
R0000087,S028,2025-11-15 16:35:40,2025-11-15 16:57:40,21.0
R0000088,S026,2025-11-15 16:45:09,2025-11-15 17:42:09,36.0
R0000089,S010,2025-11-15 15:04:05,2025-11-15 15:25:05,36.0
R0000090,S022,2025-11-15 15:33:42,2025-11-15 15:42:42,32.0
R0000091,S032,2025-11-15 19:38:05,2025-11-15 19:54:05,30.0
R0000092,S015,2025-11-15 18:19:08,2025-11-15 18:09:08,19.0
R0000093,S032,2025-11-15 14:46:14,2025-11-15 14:58:14,33.0
R0000094,S021,2025-11-15 19:49:55,2025-11-15 20:11:55,27.0
R0000095,S003,2025-11-15 18:06:32,2025-11-15 18:59:32,74.0
R0000096,S028,2025-11-15 17:45:23,2025-11-15 17:41:23,10.0
R0000097,S026,2025-11-15 13:57:39,2025-11-15 13:56:39,26.0
R0000098,S022,2025-11-15 21:25:23,2025-11-15 22:15:23,44.0
R0000099,S027,2025-11-15 16:31:01,2025-11-15 16:28:01,19.0
R0000100,S001,2025-11-15 13:16:49,,43.0
R0000101,S032,2025-11-15 15:06:25,2025-11-15 15:30:25,-22.0
R0000102,S021,2025-11-15 12:27:35,2025-11-15 13:08:35,38.0
R0000103,S033,2025-11-15 21:16:10,2025-11-15 21:17:10,14.0
R0000104,S028,2025-11-15 17:06:26,,
R0000105,S029,2025-11-15 10:32:47,2025-11-15 11:07:47,24.0
R0000106,S001,2025-11-15 09:35:38,2025-11-15 09:21:38,6.0
R0000107,S025,2025-11-15 19:28:59,2025-11-15 19:49:59,11.0
R0000108,S020,2025-11-15 18:44:07,2025-11-15 19:06:07,23.0
R0000109,S033,2025-11-15 08:09:33,2025-11-15 07:44:33,8.0
R0000110,S010,2025-11-15 21:08:44,2025-11-15 21:18:44,41.0
R0000111,S020,2025-11-15 08:20:47,2025-11-15 09:11:47,48.0
R0000112,S018,2025-11-15 13:05:45,2025-11-15 13:44:45,44.0
R0000113,S021,2025-11-15 14:51:07,2025-11-15 15:16:07,14.0
R0000114,S010,2025-11-15 16:46:00,2025-11-15 17:17:00,41.0
R0000115,S001,2025-11-15 19:17:36,2025-11-15 19:21:36,14.0
R0000116,S003,2025-11-15 13:54:40,,
R0000117,S005,2025-11-15 19:13:07,2025-11-15 18:57:07,16.0
R0000118,S029,2025-11-15 18:44:28,2025-11-15 18:37:28,17.0
R0000119,S020,2025-11-15 12:09:39,,
R0000120,S029,2025-11-15 22:18:09,2025-11-15 22:40:09,22.0
R0000121,S007,2025-11-15 18:31:15,2025-11-15 18:47:15,25.0
R0000122,S006,2025-11-15 16:03:49,2025-11-15 16:00:49,17.0
R0000123,S004,2025-11-15 10:36:36,2025-11-15 10:49:36,14.0
R0000124,S005,2025-11-15 09:40:49,2025-11-15 10:00:49,6.0
R0000125,S025,2025-11-15 19:57:16,,
R0000126,S011,2025-11-15 15:57:06,2025-11-15 16:05:06,35.0
R0000127,S006,2025-11-15 12:04:08,2025-11-15 12:36:08,18.0
R0000128,S032,2025-11-15 19:46:12,2025-11-15 19:55:12,24.0
R0000129,S026,2025-11-15 15:24:27,2025-11-15 16:03:27,34.0
R0000130,S020,2025-11-15 14:58:39,2025-11-15 15:26:39,42.0
R0000131,S033,2025-11-15 19:08:05,2025-11-15 19:32:05,29.0
R0000132,S001,2025-11-15 16:56:47,2025-11-15 16:54:47,10.0
R0000133,S003,2025-11-15 21:41:42,2025-11-15 22:29:42,62.0
R0000134,S018,2025-11-15 19:14:00,2025-11-15 19:27:00,27.0
R0000135,S013,2025-11-15 11:48:41,2025-11-15 12:08:41,34.0
R0000136,S026,2025-11-15 20:48:02,2025-11-15 21:11:02,13.0
R0000137,S026,2025-11-15 11:20:20,2025-11-15 11:44:20,17.0
R0000138,S007,2025-11-15 20:22:04,2025-11-15 21:06:04,67.0
R0000139,S023,2025-11-15 18:05:20,2025-11-15 18:55:20,31.0
R0000140,S001,2025-11-15 08:43:56,2025-11-15 08:53:56,6.0
R0000141,S032,2025-11-15 17:24:34,2025-11-15 17:55:34,28.0
R0000142,S010,2025-11-15 09:38:12,2025-11-15 09:23:12,23.0
R0000143,S022,2025-11-15 12:59:04,2025-11-15 13:09:04,21.0
R0000144,S004,2025-11-15 16:04:10,2025-11-15 16:02:10,11.0
R0000145,S010,2025-11-15 21:14:56,,
R0000146,S016,2025-11-15 21:40:28,2025-11-15 22:23:28,36.0
R0000147,S005,2025-11-15 08:34:28,2025-11-15 08:19:28,9.0
R0000148,S028,2025-11-15 19:48:42,2025-11-15 20:21:42,23.0
R0000149,S032,2025-11-15 14:24:05,2025-11-15 14:31:05,16.0
R0000150,S020,2025-11-15 07:10:56,2025-11-15 07:57:56,40.0
R0000151,S032,2025-11-15 08:11:44,2025-11-15 08:40:44,26.0
R0000152,S026,2025-11-15 14:17:50,2025-11-15 14:51:50,31.0
R0000153,S010,2025-11-15 21:55:17,2025-11-15 22:33:17,30.0
R0000154,S032,2025-11-15 19:33:23,2025-11-15 19:36:23,17.0
R0000155,S010,2025-11-15 19:05:19,2025-11-15 19:24:19,23.0
R0000156,S003,2025-11-15 21:50:02,,11.0
R0000157,S005,2025-11-15 20:52:55,2025-11-15 21:25:55,41.0
R0000158,S006,2025-11-15 23:10:01,,
R0000159,S028,2025-11-15 20:42:26,,
R0000160,S015,2025-11-15 10:00:39,2025-11-15 10:23:39,32.0
R0000161,S003,2025-11-15 20:52:20,2025-11-15 21:00:20,12.0
R0000162,S032,2025-11-15 18:08:59,2025-11-15 18:22:59,-21.0
R0000163,S021,2025-11-15 08:26:21,2025-11-15 08:55:21,37.0
R0000164,S020,2025-11-15 07:10:59,,
R0000165,S013,2025-11-15 07:18:23,2025-11-15 07:33:23,30.0
R0000166,S016,2025-11-15 14:25:22,2025-11-15 14:48:22,18.0
R0000167,S025,2025-11-15 20:22:11,2025-11-15 20:53:11,-35.0
R0000168,S027,2025-11-15 21:09:13,2025-11-15 21:06:13,-25.0
R0000169,S025,2025-11-15 15:51:25,2025-11-15 16:07:25,28.0
R0000170,S033,2025-11-15 11:19:04,2025-11-15 11:23:04,23.0
R0000171,S007,2025-11-15 20:06:58,2025-11-15 20:17:58,11.0
R0000172,S027,2025-11-15 12:15:20,2025-11-15 12:47:20,25.0
R0000173,S003,2025-11-15 20:20:38,2025-11-15 20:38:38,11.0
R0000174,S022,2025-11-15 16:22:04,2025-11-15 16:39:04,43.0
R0000175,S033,2025-11-15 13:10:53,2025-11-15 13:21:53,26.0
R0000176,S033,2025-11-15 19:48:23,2025-11-15 19:44:23,26.0
R0000177,S029,2025-11-15 07:56:28,2025-11-15 08:06:28,11.0
R0000178,S018,2025-11-15 07:42:30,2025-11-15 07:59:30,26.0
R0000179,S028,2025-11-15 13:50:21,2025-11-15 14:10:21,16.0
R0000180,S025,2025-11-15 18:39:54,2025-11-15 19:13:54,35.0
R0000181,S018,2025-11-15 08:00:06,2025-11-15 08:49:06,41.0
R0000182,S018,2025-11-15 12:51:32,2025-11-15 13:17:32,41.0
R0000183,S027,2025-11-15 11:56:15,2025-11-15 12:46:15,25.0
R0000184,S011,2025-11-15 21:36:22,2025-11-15 22:38:22,38.0
R0000185,S001,2025-11-15 13:54:22,2025-11-15 14:10:22,6.0
R0000186,S022,2025-11-15 08:54:29,2025-11-15 09:14:29,36.0
R0000187,S033,2025-11-15 19:43:57,2025-11-15 20:11:57,19.0
R0000188,S026,2025-11-15 21:10:08,2025-11-15 21:34:08,26.0
R0000189,S026,2025-11-15 17:46:54,,
R0000190,S013,2025-11-15 11:39:51,2025-11-15 11:43:51,27.0
R0000191,S013,2025-11-15 13:29:16,,
R0000192,S008,2025-11-15 08:53:47,2025-11-15 08:53:47,13.0
R0000193,S025,2025-11-15 15:32:42,2025-11-15 15:43:42,12.0
R0000194,S010,2025-11-15 21:45:07,2025-11-15 22:09:07,28.0
R0000195,S026,2025-11-15 20:52:24,2025-11-15 21:06:24,20.0
R0000196,S023,2025-11-15 11:11:33,2025-11-15 11:19:33,26.0
R0000197,S023,2025-11-15 16:47:01,2025-11-15 17:16:01,22.0
R0000198,S026,2025-11-15 14:52:17,2025-11-15 14:53:17,23.0
R0000199,S033,2025-11-15 22:05:30,2025-11-15 22:27:30,13.0
R0000200,S015,2025-11-15 11:58:48,2025-11-15 12:06:48,31.0
R0000201,S013,2025-11-15 12:08:09,2025-11-15 12:44:09,18.0
R0000202,S004,2025-11-15 07:45:48,2025-11-15 07:30:48,10.0
R0000203,S027,2025-11-15 13:04:30,2025-11-15 13:11:30,23.0
R0000204,S007,2025-11-15 11:17:44,2025-11-15 11:09:44,11.0
R0000205,S027,2025-11-15 15:58:48,2025-11-15 16:08:48,23.0
R0000206,S003,2025-11-15 14:04:16,2025-11-15 13:54:16,16.0
R0000207,S032,2025-11-15 08:07:36,2025-11-15 08:07:36,10.0
R0000208,S004,2025-11-15 12:07:12,2025-11-15 12:03:12,8.0
R0000209,S023,2025-11-15 18:34:12,,
R0000210,S004,2025-11-15 13:14:20,2025-11-15 13:07:20,10.0
R0000211,S001,2025-11-15 11:07:29,2025-11-15 11:04:29,4.0
R0000212,S006,2025-11-15 14:47:04,2025-11-15 15:43:04,51.0
R0000213,S026,2025-11-15 20:30:14,2025-11-15 20:51:14,11.0
R0000214,S007,2025-11-15 07:28:33,2025-11-15 07:55:33,14.0
R0000215,S015,2025-11-15 20:55:56,2025-11-15 21:19:56,45.0
R0000216,S015,2025-11-15 13:58:18,2025-11-15 14:50:18,46.0
R0000217,S015,2025-11-15 11:50:15,2025-11-15 11:59:15,28.0
R0000218,S029,2025-11-15 21:40:23,,
R0000219,S005,2025-11-15 12:26:44,,
R0000220,S010,2025-11-15 08:08:24,2025-11-15 08:34:24,27.0
R0000221,S015,2025-11-15 21:21:32,2025-11-15 22:04:32,29.0
R0000222,S006,2025-11-15 18:34:37,,
R0000223,S015,2025-11-15 09:53:57,2025-11-15 10:29:57,36.0
R0000224,S026,2025-11-15 18:54:21,2025-11-15 18:58:21,18.0
R0000225,S005,2025-11-15 15:52:47,2025-11-15 16:11:47,11.0
R0000226,S033,2025-11-15 16:48:02,2025-11-15 17:22:02,24.0
R0000227,S021,2025-11-15 14:31:28,2025-11-15 15:22:28,37.0
R0000228,S018,2025-11-15 13:33:38,2025-11-15 13:49:38,33.0
R0000229,S008,2025-11-15 20:37:33,,
R0000230,S008,2025-11-15 16:00:29,2025-11-15 16:38:29,18.0
R0000231,S013,2025-11-15 12:44:59,2025-11-15 13:00:59,36.0
R0000232,S003,2025-11-15 14:50:44,2025-11-15 14:51:44,5.0
R0000233,S005,2025-11-15 19:37:10,2025-11-15 19:39:10,11.0
R0000234,S011,2025-11-15 22:48:01,2025-11-15 23:28:01,26.0
R0000235,S033,2025-11-15 20:46:28,2025-11-15 20:47:28,24.0
R0000236,S013,2025-11-15 11:47:31,2025-11-15 12:30:31,38.0
R0000237,S028,2025-11-15 21:30:41,2025-11-15 21:41:41,31.0
R0000238,S025,2025-11-15 12:23:02,,20.0
R0000239,S006,2025-11-15 11:02:54,,
R0000240,S015,2025-11-15 19:32:59,2025-11-15 19:12:59,17.0
R0000241,S025,2025-11-15 20:55:15,2025-11-15 21:10:15,33.0
R0000242,S023,2025-11-15 19:13:03,2025-11-15 19:13:03,27.0
R0000243,S028,2025-11-15 08:02:01,2025-11-15 08:24:01,12.0
R0000244,S007,2025-11-15 22:12:31,2025-11-15 23:22:31,75.0
R0000245,S008,2025-11-15 16:21:44,2025-11-15 16:43:44,59.0
R0000246,S027,2025-11-15 14:28:17,2025-11-15 14:22:17,17.0
R0000247,S033,2025-11-15 17:27:19,2025-11-15 16:56:19,4.0
R0000248,S027,2025-11-15 19:23:31,2025-11-15 19:53:31,19.0
R0000249,S028,2025-11-15 07:51:16,2025-11-15 08:10:16,21.0
R0000250,S005,2025-11-15 10:37:15,2025-11-15 11:12:15,12.0
R0000251,S029,2025-11-15 18:16:22,2025-11-15 18:39:22,19.0
R0000252,S010,2025-11-15 17:49:49,2025-11-15 18:22:49,27.0
R0000253,S006,2025-11-15 14:12:29,2025-11-15 13:54:29,9.0
R0000254,S015,2025-11-15 17:32:02,2025-11-15 18:13:02,31.0
R0000255,S021,2025-11-15 12:25:38,2025-11-15 12:31:38,29.0
R0000256,S013,2025-11-15 20:47:14,2025-11-15 21:46:14,39.0
R0000257,S032,2025-11-15 09:38:16,2025-11-15 09:29:16,19.0
R0000258,S028,2025-11-15 09:41:23,2025-11-15 10:03:23,24.0
R0000259,S006,2025-11-15 12:41:25,2025-11-15 12:50:25,4.0
R0000260,S025,2025-11-15 20:12:40,2025-11-15 20:31:40,26.0
R0000261,S004,2025-11-15 21:26:08,2025-11-15 21:02:08,10.0
R0000262,S008,2025-11-15 19:57:17,2025-11-15 20:24:17,55.0
R0000263,S029,2025-11-15 19:45:59,2025-11-15 19:55:59,10.0
R0000264,S029,2025-11-15 13:48:50,2025-11-15 14:07:50,36.0
R0000265,S025,2025-11-15 18:40:46,,
R0000266,S016,2025-11-15 12:01:24,,
R0000267,S011,2025-11-15 22:16:59,2025-11-15 22:18:59,21.0
R0000268,S023,2025-11-15 19:07:28,2025-11-15 19:15:28,23.0
R0000269,S004,2025-11-15 21:38:06,2025-11-15 22:28:06,40.0
R0000270,S018,2025-11-15 19:06:03,2025-11-15 19:44:03,-37.0
R0000271,S008,2025-11-15 23:18:55,2025-11-15 22:53:55,6.0
R0000272,S004,2025-11-15 10:43:41,2025-11-15 11:00:41,16.0
R0000273,S032,2025-11-15 10:32:18,2025-11-15 10:55:18,28.0
R0000274,S023,2025-11-15 22:51:20,2025-11-15 22:58:20,31.0
R0000275,S029,2025-11-15 19:08:24,2025-11-15 19:06:24,27.0
R0000276,S004,2025-11-15 08:41:25,2025-11-15 08:48:25,13.0
R0000277,S003,2025-11-15 18:15:30,2025-11-15 18:18:30,11.0
R0000278,S033,2025-11-15 19:14:24,,
R0000279,S026,2025-11-15 08:34:20,2025-11-15 08:44:20,30.0
R0000280,S007,2025-11-15 17:13:01,2025-11-15 17:06:01,8.0
R0000281,S018,2025-11-15 21:27:49,2025-11-15 22:16:49,36.0
R0000282,S021,2025-11-15 15:07:56,2025-11-15 15:01:56,13.0
R0000283,S027,2025-11-15 22:36:57,,8.0
R0000284,S021,2025-11-15 11:36:26,2025-11-15 12:21:26,35.0
R0000285,S033,2025-11-15 18:50:27,2025-11-15 18:44:27,26.0
R0000286,S013,2025-11-15 13:09:28,2025-11-15 13:18:28,38.0
R0000287,S029,2025-11-15 19:28:36,2025-11-15 19:58:36,22.0
R0000288,S020,2025-11-15 14:19:16,2025-11-15 14:40:16,37.0
R0000289,S027,2025-11-15 08:32:07,2025-11-15 08:50:07,24.0
R0000290,S029,2025-11-15 09:31:35,2025-11-15 10:13:35,30.0
R0000291,S018,2025-11-15 12:07:34,2025-11-15 12:43:34,60.0
R0000292,S023,2025-11-15 19:47:50,,
R0000293,S016,2025-11-15 15:25:13,2025-11-15 15:49:13,31.0
R0000294,S027,2025-11-15 21:50:07,2025-11-15 21:55:07,5.0
R0000295,S029,2025-11-15 18:47:55,2025-11-15 19:14:55,27.0
R0000296,S006,2025-11-15 19:32:17,2025-11-15 19:53:17,10.0
R0000297,S023,2025-11-15 11:46:51,2025-11-15 11:58:51,34.0
R0000298,S026,2025-11-15 11:59:44,,
R0000299,S018,2025-11-15 19:23:13,,26.0
R0000300,S008,2025-11-15 18:16:48,2025-11-15 18:59:48,18.0
R0000301,S033,2025-11-15 12:51:47,2025-11-15 13:04:47,19.0
R0000302,S025,2025-11-15 10:44:57,2025-11-15 10:59:57,28.0
R0000303,S028,2025-11-15 11:41:36,2025-11-15 12:19:36,18.0
R0000304,S018,2025-11-15 20:52:32,2025-11-15 21:02:32,36.0
R0000305,S018,2025-11-15 11:07:22,2025-11-15 12:04:22,34.0
R0000306,S022,2025-11-15 11:54:48,2025-11-15 12:26:48,48.0
R0000307,S011,2025-11-15 18:05:58,2025-11-15 18:12:58,26.0
R0000308,S029,2025-11-15 13:00:14,2025-11-15 12:56:14,32.0
R0000309,S003,2025-11-15 20:08:50,2025-11-15 19:53:50,13.0
R0000310,S004,2025-11-15 14:56:01,2025-11-15 16:06:01,68.0
R0000311,S025,2025-11-15 13:11:40,2025-11-15 13:15:40,36.0
R0000312,S007,2025-11-15 19:45:20,2025-11-15 19:27:20,13.0
R0000313,S011,2025-11-15 18:21:47,2025-11-15 18:10:47,21.0
R0000314,S005,2025-11-15 22:10:58,2025-11-15 22:30:58,10.0
R0000315,S005,2025-11-15 20:52:04,2025-11-15 22:06:04,53.0
R0000316,S007,2025-11-15 14:00:31,2025-11-15 14:12:31,4.0
R0000317,S023,2025-11-15 20:33:14,2025-11-15 20:39:14,18.0
R0000318,S022,2025-11-15 13:36:00,2025-11-15 14:21:00,26.0
R0000319,S032,2025-11-15 09:21:40,,
R0000320,S013,2025-11-15 11:04:50,2025-11-15 11:08:50,29.0
R0000321,S023,2025-11-15 15:19:14,2025-11-15 15:22:14,23.0
R0000322,S007,2025-11-15 11:42:58,,
R0000323,S007,2025-11-15 15:22:38,2025-11-15 14:49:38,4.0
R0000324,S004,2025-11-15 20:35:05,2025-11-15 20:22:05,6.0
R0000325,S022,2025-11-15 18:56:19,2025-11-15 19:43:19,33.0
R0000326,S015,2025-11-15 21:43:35,2025-11-15 22:05:35,34.0
R0000327,S005,2025-11-15 23:01:10,2025-11-15 23:56:10,77.0
R0000328,S021,2025-11-15 18:47:56,2025-11-15 19:18:56,26.0
R0000329,S029,2025-11-15 07:23:21,,
R0000330,S010,2025-11-15 13:58:38,2025-11-15 14:06:38,39.0
R0000331,S007,2025-11-15 18:48:55,2025-11-15 18:39:55,11.0
R0000332,S032,2025-11-15 18:55:49,2025-11-15 18:44:49,20.0
R0000333,S008,2025-11-15 19:59:39,,
R0000334,S010,2025-11-15 18:54:01,2025-11-15 19:17:01,28.0
R0000335,S015,2025-11-15 23:10:49,2025-11-15 23:49:49,37.0
R0000336,S001,2025-11-15 20:23:57,2025-11-15 20:46:57,12.0
R0000337,S021,2025-11-15 14:27:07,2025-11-15 15:01:07,42.0
R0000338,S011,2025-11-15 18:03:23,2025-11-15 18:41:23,38.0
R0000339,S005,2025-11-15 15:04:20,,
R0000340,S011,2025-11-15 08:24:55,,
R0000341,S015,2025-11-15 19:16:19,2025-11-15 19:51:19,41.0
R0000342,S003,2025-11-15 20:45:24,2025-11-15 21:28:24,43.0
R0000343,S022,2025-11-15 18:35:25,2025-11-15 19:36:25,44.0
R0000344,S033,2025-11-15 16:41:40,2025-11-15 16:44:40,20.0
R0000345,S021,2025-11-15 22:13:45,2025-11-15 23:22:45,42.0
R0000346,S025,2025-11-15 13:28:27,2025-11-15 14:03:27,36.0
R0000347,S007,2025-11-15 21:08:31,2025-11-15 21:38:31,11.0
R0000348,S015,2025-11-15 23:03:37,2025-11-15 23:09:37,16.0
R0000349,S011,2025-11-15 12:41:08,,
R0000350,S031,2025-11-16 12:37:36,2025-11-16 12:42:36,18.0
R0000351,S019,2025-11-16 19:01:40,2025-11-16 19:23:40,24.0
R0000352,S020,2025-11-16 18:24:08,2025-11-16 19:05:08,21.0
R0000353,S007,2025-11-16 21:17:08,2025-11-16 21:11:08,8.0
R0000354,S024,2025-11-16 19:41:23,2025-11-16 20:16:23,35.0
R0000355,S019,2025-11-16 17:35:34,2025-11-16 18:27:34,33.0
R0000356,S007,2025-11-16 21:37:31,2025-11-16 21:50:31,12.0
R0000357,S034,2025-11-16 12:10:09,2025-11-16 12:47:09,36.0
R0000358,S002,2025-11-16 19:58:37,2025-11-16 19:46:37,13.0
R0000359,S002,2025-11-16 13:52:07,2025-11-16 14:02:07,12.0
R0000360,S004,2025-11-16 15:25:35,2025-11-16 15:07:35,13.0
R0000361,S022,2025-11-16 16:47:07,2025-11-16 16:30:07,17.0
R0000362,S030,2025-11-16 17:46:30,2025-11-16 17:57:30,17.0
R0000363,S003,2025-11-16 15:29:00,2025-11-16 15:02:00,11.0
R0000364,S024,2025-11-16 12:11:07,2025-11-16 12:57:07,20.0
R0000365,S015,2025-11-16 20:19:46,2025-11-16 21:05:46,34.0
R0000366,S034,2025-11-16 10:28:58,2025-11-16 10:28:58,21.0
R0000367,S020,2025-11-16 13:26:09,2025-11-16 13:43:09,28.0
R0000368,S029,2025-11-16 19:31:01,2025-11-16 19:45:01,26.0
R0000369,S003,2025-11-16 13:10:17,2025-11-16 13:46:17,33.0
R0000370,S004,2025-11-16 15:32:21,2025-11-16 15:30:21,16.0
R0000371,S015,2025-11-16 19:48:32,2025-11-16 20:26:32,25.0
R0000372,S031,2025-11-16 20:32:59,2025-11-16 20:58:59,21.0
R0000373,S030,2025-11-16 14:15:24,2025-11-16 14:37:24,26.0
R0000374,S004,2025-11-16 17:21:04,2025-11-16 17:19:04,13.0
R0000375,S022,2025-11-16 20:58:43,2025-11-16 21:13:43,40.0
R0000376,S029,2025-11-16 13:43:39,2025-11-16 13:49:39,13.0
R0000377,S012,2025-11-16 17:40:27,,
R0000378,S003,2025-11-16 07:35:57,2025-11-16 08:40:57,69.0
R0000379,S005,2025-11-16 19:35:59,2025-11-16 19:51:59,7.0
R0000380,S007,2025-11-16 10:18:28,2025-11-16 10:39:28,15.0
R0000381,S005,2025-11-16 08:06:15,2025-11-16 08:37:15,70.0
R0000382,S003,2025-11-16 09:09:50,2025-11-16 09:40:50,17.0
R0000383,S030,2025-11-16 18:58:17,,
R0000384,S022,2025-11-16 21:02:52,2025-11-16 21:10:52,24.0
R0000385,S007,2025-11-16 20:38:38,2025-11-16 20:34:38,15.0
